symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_pct,exit_reason,days_held,signal_type,quality,delta,theta_cost,iv_crush
MARA,2020-06-19,2020-07-06,0.8399999737739563,0.9399999976158142,0.7012052695077066,-13.984836210552354,-23.74285502425661,Stop Loss,17,trend,1,0.665,0.25703999197483063,0.0
SMCI,2020-07-02,2020-07-08,2.747999906539917,2.821000099182129,0.1702665103136319,-3.914510029002527,-8.366262008666187,Exit Signal,6,trend,1,0.62,0.24731999158859252,0.0
MARA,2020-07-06,2020-07-10,0.9399999976158142,0.9300000071525574,0.9558423559307545,-6.934635661020727,-7.7180844233849815,Exit Signal,4,trend,3,0.68,0.05639999985694885,0.0
RIOT,2020-07-28,2020-07-29,2.7699999809265137,2.75,0.31392085310836587,-15.6505236137932,-17.998194474163085,Stop Loss,1,trend,3,0.6950000000000001,0.0415499997138977,0.41549999713897706
RIOT,2020-07-29,2020-07-31,2.75,2.640000104904175,0.3010276463584824,-17.996935674376473,-21.73999738693237,Stop Loss,2,trend,3,0.6900000000000001,0.08249999999999999,0.4125
MARA,2020-07-24,2020-08-03,1.0399999618530273,3.8299999237060547,0.8361161432864503,159.87794647264357,183.86058152127563,Take Profit,10,trend,3,0.75,0.1559999942779541,0.0
SMCI,2020-08-06,2020-08-07,3.009000062942505,3.0179998874664307,0.2004279435665778,-10.438590414532625,-17.308578013465382,Stop Loss,1,trend,1,0.645,0.04513500094413757,0.4513500094413757
MARA,2020-08-03,2020-08-12,3.8299999237060547,3.569999933242798,0.31492830643385433,-21.58361098288141,-17.894255817786952,Stop Loss,9,breakout,3,0.505,0.5170499897003175,0.0
SMCI,2020-08-07,2020-08-12,3.0179998874664307,2.6010000705718994,0.3904371081664679,-18.482117298268374,-15.684887769071135,Stop Loss,5,trend,3,0.525,0.22634999155998228,0.0
MARA,2020-08-12,2020-08-19,3.569999933242798,3.140000104904175,0.30013927912115157,-18.904269637388044,-17.642854805420054,Stop Loss,7,trend,3,0.515,0.37484999299049376,0.0
RIOT,2020-07-31,2020-08-24,2.640000104904175,3.630000114440918,0.29539173031552896,-14.729119028232542,-18.88750076199116,Stop Loss,24,trend,3,0.68,1.1404800453186033,0.0
MARA,2020-08-19,2020-08-24,3.140000104904175,2.309999942779541,0.16259327812307706,-10.682379756605885,-20.923568890628516,Stop Loss,5,trend,1,0.475,0.2355000078678131,0.0
RIOT,2020-08-24,2020-08-26,3.630000114440918,3.4100000858306885,0.13131154186115088,-10.457651661550297,-21.939394228983243,Stop Loss,2,trend,1,0.49,0.10890000343322753,0.5445000171661377
MARA,2020-08-24,2020-08-31,2.309999942779541,2.4800000190734863,0.20634672025569054,-2.9909944565694295,-6.274889300496383,Exit Signal,7,trend,1,0.715,0.2425499939918518,0.0
RIOT,2020-08-27,2020-09-04,3.2699999809265137,3.109999895095825,0.1415037856677761,-7.385083273709342,-15.960246253583751,Stop Loss,8,trend,1,0.61,0.3923999977111816,0.0
RIOT,2020-10-14,2020-10-16,3.2799999713897705,3.109999895095825,0.2737089085628391,-6.08044448960476,-6.772867122273913,Exit Signal,2,trend,3,0.54,0.09839999914169312,0.0
SMCI,2020-10-07,2020-10-19,2.703000068664551,2.6689999103546143,0.16606829253592834,-8.859080888258982,-19.735852464152536,Stop Loss,12,trend,1,0.5900000000000001,0.48654001235961913,0.0
SMCI,2020-10-19,2020-10-21,2.6689999103546143,2.615000009536743,0.16072058949606333,-8.701411429338792,-20.284748526454322,Stop Loss,2,trend,1,0.64,0.08006999731063842,0.40034998655319215
SMCI,2020-10-22,2020-10-23,2.6760001182556152,2.5460000038146973,0.15596462578761427,-2.3410302215003584,-5.609120686303352,Exit Signal,1,trend,1,0.645,0.04014000177383423,0.0
MARA,2020-10-20,2020-10-28,2.4600000381469727,2.3499999046325684,0.348750595370117,-13.665795302418601,-15.928865298156966,Stop Loss,8,trend,3,0.66,0.29520000457763673,0.0
RIOT,2020-10-19,2020-10-30,3.299999952316284,3.2699999809265137,0.25997772433665794,-15.512870118192629,-18.08181763536016,Stop Loss,11,trend,3,0.645,0.5444999921321868,0.0
