date,equity,cash,positions,peak,drawdown
2022-01-07,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2022-01-10,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2022-01-11,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2022-01-12,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2022-01-13,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2022-01-14,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2022-01-18,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2022-01-19,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2022-01-20,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2022-01-21,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2022-01-24,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2022-01-25,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2022-01-26,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2022-01-27,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2022-01-28,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2022-01-31,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2022-02-01,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2022-02-02,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2022-02-03,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2022-02-04,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2022-02-07,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2022-02-08,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
