date,equity,positions,cummax,drawdown
2021-01-27,115373.30187218911,2,119939.98198376904,-3.8074710668190037
2021-01-28,113837.65603574933,2,119939.98198376904,-5.087816295358054
2021-01-29,110468.96823567417,2,119939.98198376904,-7.896460872719279
2021-02-01,113623.60476294238,3,119939.98198376904,-5.266281615484507
2021-02-02,113603.1889054537,3,119939.98198376904,-5.283303343477968
2021-02-03,112475.50164713651,2,119939.98198376904,-6.223512971381529
2021-02-04,112803.65994621,2,119939.98198376904,-5.949910880030625
2021-02-05,112605.26576426702,2,119939.98198376904,-6.115322095424857
2021-02-08,116975.93690179841,2,119939.98198376904,-2.471273576122216
2021-02-09,115411.28756317681,2,119939.98198376904,-3.7758004842831157
2021-02-10,115155.13025066721,2,119939.98198376904,-3.9893717290614155
2021-02-11,117711.71461841605,2,119939.98198376904,-1.8578186593812682
2021-02-12,116667.19043881362,2,119939.98198376904,-2.7286910426569184
2021-02-16,117203.98180682484,2,119939.98198376904,-2.2811410604634355
2021-02-17,115307.9377603576,1,119939.98198376904,-3.86196841686893
2021-02-18,114963.81170451088,1,119939.98198376904,-4.148883630757562
2021-02-19,115399.54885361718,1,119939.98198376904,-3.785587637295382
2021-02-22,110894.67990634432,2,119939.98198376904,-7.541523625248492
2021-02-23,107571.2087705968,2,119939.98198376904,-10.312468793638851
2021-02-24,108338.92694583473,2,119939.98198376904,-9.672383508865492
2021-02-25,103428.75669627494,1,119939.98198376904,-13.766239592839439
2021-02-26,105106.00210158036,1,119939.98198376904,-12.367835676510355
2021-03-01,105630.40631849586,1,119939.98198376904,-11.93061348567622
2021-03-02,103835.7013992262,1,119939.98198376904,-13.426949310966357
2021-03-03,101356.92535452696,1,119939.98198376904,-15.49362966534116
2021-03-04,101356.92535452696,0,119939.98198376904,-15.49362966534116
2021-03-05,101356.92535452696,0,119939.98198376904,-15.49362966534116
2021-03-08,101356.92535452696,0,119939.98198376904,-15.49362966534116
2021-03-09,101356.92535452696,0,119939.98198376904,-15.49362966534116
2021-03-10,101356.92535452696,0,119939.98198376904,-15.49362966534116
2021-03-11,101356.92535452696,0,119939.98198376904,-15.49362966534116
2021-03-12,101356.92535452696,0,119939.98198376904,-15.49362966534116
2021-03-15,101356.92535452696,0,119939.98198376904,-15.49362966534116
2021-03-16,101356.92535452696,0,119939.98198376904,-15.49362966534116
2021-03-17,101356.92535452696,0,119939.98198376904,-15.49362966534116
2021-03-18,101356.92535452696,0,119939.98198376904,-15.49362966534116
2021-03-19,101356.92535452696,0,119939.98198376904,-15.49362966534116
2021-03-22,101356.92535452696,0,119939.98198376904,-15.49362966534116
2021-03-23,101356.92535452696,0,119939.98198376904,-15.49362966534116
2021-03-24,101356.92535452696,0,119939.98198376904,-15.49362966534116
2021-03-25,101356.92535452696,0,119939.98198376904,-15.49362966534116
2021-03-26,101356.92535452696,0,119939.98198376904,-15.49362966534116
2021-03-29,101356.92535452696,0,119939.98198376904,-15.49362966534116
2021-03-30,101356.92535452696,0,119939.98198376904,-15.49362966534116
2021-03-31,101356.92535452696,0,119939.98198376904,-15.49362966534116
2021-04-01,101356.92535452696,0,119939.98198376904,-15.49362966534116
2021-04-05,101356.92535452696,0,119939.98198376904,-15.49362966534116
2021-04-06,101356.92535452696,0,119939.98198376904,-15.49362966534116
2021-04-07,102800.355283834,1,119939.98198376904,-14.290169480144227
2021-04-08,103688.40493429791,1,119939.98198376904,-13.549757787749533
2021-04-09,104113.24134202636,1,119939.98198376904,-13.195550291048441
2021-04-12,105924.8142751224,2,119939.98198376904,-11.685150753602134
2021-04-13,109230.21828144397,2,119939.98198376904,-8.929269060399205
2021-04-14,106256.16573484552,2,119939.98198376904,-11.408886363494116
2021-04-15,113144.63054718712,2,119939.98198376904,-5.66562652769242
2021-04-16,111515.01640610844,2,119939.98198376904,-7.024317861579071
2021-04-19,108116.49144693157,2,119939.98198376904,-9.857839180297272
2021-04-20,106583.48424829968,3,119939.98198376904,-11.135984443683547
2021-04-21,110004.53097438777,3,119939.98198376904,-8.283685594288144
2021-04-22,106668.15719155403,2,119939.98198376904,-11.065388348991947
2021-04-23,108825.56841645358,2,119939.98198376904,-9.266646020356692
2021-04-26,110140.80667911276,2,119939.98198376904,-8.17006568000182
2021-04-27,107932.07687998607,2,119939.98198376904,-10.011594887022707
2021-04-28,106954.68819598634,2,119939.98198376904,-10.826493028438131
2021-04-29,106190.24623205865,2,119939.98198376904,-11.46384677093839
2021-04-30,106730.96303954787,2,119939.98198376904,-11.013023952270302
2021-05-03,104710.82300615999,2,119939.98198376904,-12.697316379178671
2021-05-04,104710.82300615999,0,119939.98198376904,-12.697316379178671
2021-05-05,104710.82300615999,0,119939.98198376904,-12.697316379178671
2021-05-06,104710.82300615999,0,119939.98198376904,-12.697316379178671
2021-05-07,104710.82300615999,0,119939.98198376904,-12.697316379178671
2021-05-10,102006.50261003806,1,119939.98198376904,-14.952044411810766
2021-05-11,102206.91357161314,1,119939.98198376904,-14.78495170572532
2021-05-12,99496.40557870755,1,119939.98198376904,-17.04483864924045
2021-05-13,99034.956560466,1,119939.98198376904,-17.429571922173565
2021-05-14,101893.92903155106,1,119939.98198376904,-15.045902670437354
2021-05-17,101510.41629542797,1,119939.98198376904,-15.365656542148775
2021-05-18,100769.39954421902,1,119939.98198376904,-15.98347950572837
2021-05-19,101016.8182651514,1,119939.98198376904,-15.777194064593427
2021-05-20,101016.8182651514,0,119939.98198376904,-15.777194064593427
2021-05-21,101016.8182651514,0,119939.98198376904,-15.777194064593427
2021-05-24,101016.8182651514,0,119939.98198376904,-15.777194064593427
2021-05-25,101178.73521890905,1,119939.98198376904,-15.642195750370277
2021-05-26,101415.39506491872,1,119939.98198376904,-15.444880524792124
2021-05-27,100455.18141560315,1,119939.98198376904,-16.245458975308743
2021-05-28,103881.60741559291,1,119939.98198376904,-13.388675154502897
2021-06-01,104192.51278451868,2,119939.98198376904,-13.129457699419532
2021-06-02,109303.23774967162,2,119939.98198376904,-8.868389054399598
2021-06-03,108528.34612518996,2,119939.98198376904,-9.51445520487353
2021-06-04,112085.5235843401,2,119939.98198376904,-6.548657311364156
2021-06-07,113131.26959320053,2,119939.98198376904,-5.676766227536959
2021-06-08,112410.31178490249,2,119939.98198376904,-6.277865040771406
2021-06-09,111661.66331956077,2,119939.98198376904,-6.902050948555704
2021-06-10,111821.48781178184,2,119939.98198376904,-6.76879722483687
2021-06-11,114466.81344401973,2,119939.98198376904,-4.563256096278198
2021-06-14,115920.97137404558,2,119939.98198376904,-3.3508514369022855
2021-06-15,113721.67363909198,2,119939.98198376904,-5.1845166572716
2021-06-16,114723.80758969995,2,119939.98198376904,-4.348987141564667
2021-06-17,119201.09016069042,2,119939.98198376904,-0.6160513040418942
2021-06-18,118946.90788415816,2,119939.98198376904,-0.8279758619150602
2021-06-21,118333.47340475477,2,119939.98198376904,-1.3394270638056944
2021-06-22,120621.198511333,3,120621.198511333,0.0
2021-06-23,125435.21168245896,3,125435.21168245896,0.0
2021-06-24,128475.94500798293,3,128475.94500798293,0.0
2021-06-25,127346.26952201489,3,128475.94500798293,-0.8792894933739104
